Site,Time,Occ1,Occ2,Occ3,Tussock,Pasture,HabType
1,1,0,0,0,0,1,Pasture
2,1,0,0,0,0,1,Pasture
3,1,0,0,0,0,1,Pasture
4,1,0,NA,NA,0,1,Pasture
5,1,0,NA,NA,0,1,Pasture
6,1,0,NA,NA,0,1,Pasture
7,1,0,NA,NA,0,1,Pasture
8,1,0,NA,NA,0,1,Pasture
9,1,0,NA,NA,0,1,Pasture
10,1,0,NA,NA,0,1,Pasture
11,1,0,NA,NA,0,1,Pasture
12,1,0,0,0,0,1,Pasture
13,1,0,NA,NA,0,1,Pasture
14,1,0,NA,NA,0,1,Pasture
15,1,1,NA,NA,0,1,Pasture
16,1,1,NA,NA,0,1,Pasture
17,1,0,NA,NA,0,1,Pasture
18,1,0,NA,NA,0,1,Pasture
19,1,0,1,NA,0,1,Pasture
20,1,0,0,NA,0,1,Pasture
21,1,1,NA,NA,0,1,Pasture
22,1,0,0,0,0,1,Pasture
23,1,0,NA,NA,0,1,Pasture
24,1,0,0,0,0,1,Pasture
25,1,0,0,0,0,1,Pasture
26,1,0,NA,NA,0,1,Pasture
27,1,0,0,0,0,1,Pasture
28,1,0,0,0,0,1,Pasture
29,1,0,NA,NA,0,1,Pasture
30,1,0,0,0,0,1,Pasture
31,1,0,0,NA,0,1,Pasture
32,1,0,NA,NA,0,1,Pasture
33,1,1,NA,NA,0,1,Pasture
34,1,1,NA,NA,0,1,Pasture
35,1,0,NA,NA,0,1,Pasture
36,1,1,NA,NA,0,1,Pasture
37,1,1,NA,NA,0,1,Pasture
38,1,0,0,0,0,1,Pasture
39,1,1,NA,NA,0,1,Pasture
40,1,0,0,0,0,1,Pasture
41,1,0,0,0,0,1,Pasture
42,1,0,0,NA,0,1,Pasture
43,1,0,0,0,0,1,Pasture
44,1,0,1,NA,0,1,Pasture
45,1,0,0,0,0,1,Pasture
46,1,0,0,NA,0,1,Pasture
47,1,0,0,0,0,1,Pasture
48,1,0,0,0,0,1,Pasture
49,1,0,NA,NA,0,1,Pasture
50,1,0,0,0,0,1,Pasture
51,1,0,NA,NA,0,1,Pasture
52,1,0,NA,NA,0,1,Pasture
53,1,0,NA,NA,0,1,Pasture
54,1,0,NA,NA,0,1,Pasture
55,1,0,NA,NA,0,1,Pasture
56,1,0,NA,NA,0,1,Pasture
57,1,0,0,0,0,1,Pasture
58,1,0,0,0,0,1,Pasture
59,1,0,NA,NA,0,1,Pasture
60,1,0,NA,NA,0,1,Pasture
61,1,0,0,0,0,1,Pasture
62,1,0,NA,NA,0,1,Pasture
63,1,0,0,0,0,1,Pasture
64,1,0,0,0,0,1,Pasture
65,1,0,0,NA,0,1,Pasture
66,1,0,NA,NA,0,1,Pasture
67,1,0,0,NA,0,1,Pasture
68,1,0,NA,NA,0,1,Pasture
69,1,0,0,0,0,1,Pasture
70,1,0,0,0,0,1,Pasture
71,1,0,0,0,0,1,Pasture
72,1,0,0,0,0,1,Pasture
73,1,0,0,0,0,1,Pasture
