Site,S1V1,S1V2,S1V3,S2V1,S2V2,S2V3,S3V1,S3V2,S3V3,S4V1,S4V2,S4V3,S5V1,S5V2,S5V3,S6V1,S6V2,S6V3,S7V1,S7V2,S7V3,S8V1,S8V2,S8V3,S9V1,S9V2,S9V3,S10V1,S10V2,S10V3,S11V1,S11V2,S11V3,S12V1,S12V2,S12V3,S13V1,S13V2,S13V3,Lat,MeanLHeight,SaltMarsh,Shrub
1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,4.010881539,-0.063593859,0,1
2,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,3.965581521,-0.057510525,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.271516715,0.114072808,0,1
4,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,-3.248516741,0.020850586,1,0
5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.201316772,0.044739475,1,0
6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.121216831,0.096128363,1,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.158316792,-0.008816081,1,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3.425781673,-0.037010525,0,0
9,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,3.674481604,0.090183919,0,1
10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3.79988153,-0.000487798,0,0
11,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3.869881575,0.12129503,1,0
