Time,Site,Occ1,Occ2,Occ3,MinQ1,MaxQ1,Link,lnLink,Season
1,1,1,0,1,0.61,5.59,4,1.386294361,Summer
1,2,0,1,1,0.45,6.63,144,4.9698133,Summer
1,3,0,0,0,0.12,3.19,3,1.098612289,Summer
1,4,1,1,1,0.32,6.4,9,2.197224577,Summer
1,5,1,1,1,0.22,6.36,18,2.890371758,Summer
1,6,1,1,1,0.55,4.97,18,2.890371758,Summer
1,7,0,0,0,0.37,7.44,3,1.098612289,Summer
1,8,0,0,0,0.57,5.72,3,1.098612289,Summer
1,9,1,1,0,0.84,1.59,3,1.098612289,Summer
1,10,1,1,1,0.56,5.6,2,0.693147181,Summer
1,11,1,0,1,0.46,6.06,166,5.111987788,Summer
1,12,0,1,0,0.7,3.39,330,5.799092654,Summer
1,13,0,0,0,0.2,4.79,38,3.63758616,Summer
1,14,0,0,1,0.17,2.72,773,6.650279049,Summer
1,15,1,1,1,0.79,3.49,6,1.791759469,Summer
1,16,0,0,0,0.64,2.01,9,2.197224577,Summer
1,17,1,0,1,0.92,7.15,80,4.382026635,Summer
1,18,1,1,1,0.62,1.02,4,1.386294361,Summer
1,19,0,0,0,0.44,6.36,4,1.386294361,Summer
1,20,1,0,1,0.81,6.84,3,1.098612289,Summer
1,21,1,1,1,0.1,3.64,106,4.663439094,Summer
1,22,0,0,0,0.99,2.02,15,2.708050201,Summer
1,23,1,1,1,0.63,7.42,10,2.302585093,Summer
1,24,0,0,0,0.29,2.31,2,0.693147181,Summer
1,25,0,1,1,0.48,4.18,20,2.995732274,Summer
1,26,0,0,1,0.47,7.75,90,4.49980967,Summer
2,1,1,1,1,0.16,7.58,4,1.386294361,Spring
2,2,1,0,1,0.06,1.47,144,4.9698133,Spring
2,3,1,1,1,0.21,6.73,3,1.098612289,Spring
2,4,1,1,1,0.57,5.92,9,2.197224577,Spring
2,5,0,0,0,0.85,6.87,18,2.890371758,Spring
2,6,0,0,0,0.42,1.53,18,2.890371758,Spring
2,7,1,1,1,0.12,4.67,3,1.098612289,Spring
2,8,1,1,1,0.96,3.55,3,1.098612289,Spring
2,9,1,1,1,0.05,5.3,3,1.098612289,Spring
2,10,1,0,1,0.26,1.63,2,0.693147181,Spring
2,11,0,1,0,0.15,7.52,166,5.111987788,Spring
2,12,0,1,1,0.69,6.08,330,5.799092654,Spring
2,13,1,1,1,0.97,6.39,38,3.63758616,Spring
2,14,0,0,0,0.32,6.94,773,6.650279049,Spring
2,15,1,1,1,0.69,3.55,6,1.791759469,Spring
2,16,0,0,0,0.51,5.89,9,2.197224577,Spring
2,17,1,1,1,0.11,3.53,80,4.382026635,Spring
