"","1","2","3"
"2012-1000",0,0,0
"2012-1012",1,1,0
"2012-1015",0,0,0
"2012-1069",0,0,0
"2012-115(12)",1,0,1
"2012-482",0,0,0
"2012-490",0,1,1
"2012-517",0,0,1
"2012-526(12)",1,1,1
"2012-544",0,1,1
"2012-568",0,0,0
"2012-583",1,1,0
"2012-613",0,0,1
"2012-622",1,1,1
"2012-640",0,0,0
"2012-655(12)",0,0,1
"2012-685",0,1,1
"2012-694",0,0,0
"2012-703",1,1,1
"2012-718",1,0,0
"2012-721",1,1,1
"2012-724",0,0,0
"2012-733",1,1,1
"2012-742",0,0,0
"2012-754",0,1,0
"2012-775",0,0,0
"2012-778",1,1,0
"2012-787",1,0,0
"2012-796",0,0,0
"2012-847",0,0,1
"2012-859",1,1,1
"2012-874",0,1,1
"2012-889(12)",0,1,0
"2012-979(12)",1,1,0
"2012-982",0,1,1
"2012-CAN3",0,1,1
"2012-Jen1",1,1,0
"2012-N235",1,1,1
"2012-N250",0,0,0
"2013-10",0,1,1
"2013-100",0,1,1
"2013-1036",1,1,1
"2013-1039",1,1,1
"2013-106",1,0,1
"2013-1063",0,1,1
"2013-1087",0,0,1
"2013-1099",0,0,1
"2013-10Old",0,0,0
"2013-11",0,1,1
"2013-1102",0,1,1
"2013-1132",1,1,1
"2013-1144",1,1,1
"2013-115",0,0,1
"2013-1153",1,1,1
"2013-1189",1,1,1
"2013-1201",1,1,1
"2013-1207",0,0,0
"2013-1213",1,0,0
"2013-1234",0,0,0
"2013-124",1,0,1
"2013-1243",0,0,1
"2013-1246",1,1,1
"2013-1312",0,0,1
"2013-133",0,0,0
"2013-136",0,0,0
"2013-1381",1,0,0
"2013-1384",0,1,1
"2013-1390",0,0,0
"2013-1402",1,0,0
"2013-142",0,0,0
"2013-1426",1,0,1
"2013-1429",1,1,1
"2013-145",1,1,1
"2013-1453",0,1,0
"2013-148",0,0,0
"2013-15",0,1,0
"2013-1513",1,1,1
"2013-1546",1,1,0
"2013-1549",0,1,1
"2013-169",0,1,0
"2013-175",0,0,0
"2013-193",0,0,0
"2013-2",0,1,0
"2013-21",0,0,0
"2013-214",0,1,0
"2013-22",1,0,1
"2013-226",1,1,1
"2013-22BU",1,0,0
"2013-23",0,0,0
"2013-232",0,1,0
"2013-238",0,0,1
"2013-238BU",0,1,0
"2013-244",0,1,0
"2013-247",1,0,0
"2013-25",1,0,1
"2013-256",0,0,0
"2013-26",0,1,0
"2013-280",0,1,1
"2013-286",1,0,1
"2013-3",0,0,0
"2013-310",0,1,1
"2013-319",0,0,1
"2013-328(13)",0,1,1
"2013-33",0,0,0
"2013-334",0,1,1
"2013-34",0,1,1
"2013-340",1,0,1
"2013-343",1,1,1
"2013-37",1,1,0
"2013-379",0,1,1
"2013-4",0,1,0
"2013-40",0,0,0
"2013-415",1,1,1
"2013-427",0,0,0
"2013-427BU",0,0,1
"2013-430",1,0,1
"2013-442",0,1,0
"2013-457",0,0,0
"2013-46",1,1,1
"2013-463",0,1,0
"2013-466",0,1,0
"2013-481",0,1,1
"2013-505",0,1,0
"2013-508",1,1,1
"2013-514",1,1,0
"2013-523BU",1,1,1
"2013-526",1,0,1
"2013-556",0,1,1
"2013-565",1,1,1
"2013-567",0,1,0
"2013-59",1,0,1
