"","1","2","3"
"2012-1000",1,1,1
"2012-1012",1,1,0
"2012-1015",0,1,0
"2012-1069",0,1,0
"2012-115(12)",1,0,1
"2012-482",1,1,0
"2012-490",0,1,0
"2012-517",1,1,1
"2012-526(12)",1,1,1
"2012-544",1,1,1
"2012-568",1,0,0
"2012-583",1,1,1
"2012-613",1,0,1
"2012-622",1,1,0
"2012-640",1,0,0
"2012-655(12)",1,1,1
"2012-685",0,0,0
"2012-694",1,1,1
"2012-703",1,1,0
"2012-718",0,1,1
"2012-721",0,1,1
"2012-724",0,0,0
"2012-733",0,0,0
"2012-742",1,1,1
"2012-754",1,0,1
"2012-775",1,1,1
"2012-778",1,1,1
"2012-787",0,1,0
"2012-796",1,1,1
"2012-847",1,1,1
"2012-859",0,1,0
"2012-874",0,1,1
"2012-889(12)",1,1,1
"2012-979(12)",1,1,1
"2012-982",1,1,1
"2012-CAN3",0,1,1
"2012-Jen1",1,1,1
"2012-N235",1,1,0
"2012-N250",1,1,1
"2013-10",1,1,1
"2013-100",1,1,1
"2013-1036",1,1,1
"2013-1039",0,1,0
"2013-106",1,1,1
"2013-1063",1,1,0
"2013-1087",1,1,1
"2013-1099",1,1,1
"2013-10Old",1,1,1
"2013-11",1,1,1
"2013-1102",1,1,1
"2013-1132",1,0,1
"2013-1144",1,1,1
"2013-115",0,0,1
"2013-1153",1,1,1
"2013-1189",1,1,1
"2013-1201",1,1,1
"2013-1207",1,1,1
"2013-1213",1,1,1
"2013-1234",1,1,1
"2013-124",1,1,1
"2013-1243",1,0,0
"2013-1246",1,0,1
"2013-1312",0,0,1
"2013-133",1,1,1
"2013-136",1,1,0
"2013-1381",0,0,0
"2013-1384",1,1,1
"2013-1390",0,1,0
"2013-1402",1,1,0
"2013-142",1,1,1
"2013-1426",1,1,1
"2013-1429",1,1,1
"2013-145",1,1,1
"2013-1453",1,1,1
"2013-148",1,1,1
"2013-15",0,1,1
"2013-1513",1,1,1
"2013-1546",0,0,0
"2013-1549",1,1,0
"2013-169",1,0,0
"2013-175",1,1,0
"2013-193",1,1,1
"2013-2",1,1,0
"2013-21",1,1,1
"2013-214",1,1,1
"2013-22",1,1,1
"2013-226",1,1,1
"2013-22BU",1,1,0
"2013-23",1,1,1
"2013-232",1,0,0
"2013-238",1,1,1
"2013-238BU",0,0,0
"2013-244",1,1,0
"2013-247",1,1,1
"2013-25",1,1,1
"2013-256",1,1,1
"2013-26",1,1,0
"2013-280",1,1,1
"2013-286",0,0,1
"2013-3",1,1,1
"2013-310",1,1,0
"2013-319",0,1,1
"2013-328(13)",1,1,0
"2013-33",1,1,0
"2013-334",1,1,1
"2013-34",1,0,0
"2013-340",0,0,0
"2013-343",0,0,0
"2013-37",1,1,0
"2013-379",1,1,1
"2013-4",1,1,1
"2013-40",0,0,1
"2013-415",1,1,1
"2013-427",1,1,1
"2013-427BU",1,1,1
"2013-430",1,1,1
"2013-442",1,1,1
"2013-457",1,1,1
"2013-46",1,1,1
"2013-463",1,1,0
"2013-466",1,1,1
"2013-481",1,1,1
"2013-505",1,1,1
"2013-508",0,0,0
"2013-514",1,1,1
"2013-523BU",0,1,1
"2013-526",1,1,1
"2013-556",0,1,1
"2013-565",1,1,1
"2013-567",1,1,1
"2013-59",1,1,1
"2013-592",1,0,1
"2013-604",1,1,0
"2013-607",1,1,1
"2013-61",0,0,1
"2013-613(13)",1,1,1
"2013-628",1,1,1
"2013-64",1,1,0
"2013-646(13)",1,1,1
"2013-658",1,1,1
"2013-667",1,1,1
"2013-670",0,0,0
"2013-676",1,1,1
"2013-70",1,1,1
"2013-721(13)",0,1,1
"2013-727",1,1,0
"2013-727BU",1,1,1
"2013-73",0,0,0
"2013-760",1,1,1
"2013-769",0,0,0
"2013-775(13)",1,1,1
"2013-778(13)",1,0,0
"2013-790",1,1,1
"2013-793",1,1,1
"2013-793BU",1,1,0
"2013-799BU",1,1,1
"2013-805",1,0,0
"2013-823",0,0,0
"2013-832",1,1,1
"2013-835",1,1,1
"2013-835BU",1,1,1
"2013-865(13)",1,1,1
"2013-892",1,1,1
"2013-91",1,1,1
"2013-910",1,1,1
"2013-913(13)",1,1,0
"2013-925",1,1,1
"2013-925BU",1,0,1
"2013-934",1,1,1
"2013-94",1,1,1
"2013-955",1,1,1
"2013-958",1,0,1
"2013-967",1,1,0
"2013-979",1,1,1
"2013-985",0,1,1
"2013-997",1,1,1
"2013-AL1",1,1,1
"2013-AL2",0,0,0
"2013-BF2",1,1,1
"2013-BF4",1,0,0
"2013-BF5",0,0,1
"2013-BF6",1,0,1
"2013-BuckE1",1,1,1
"2013-BuckE2",0,0,0
"2013-CDL01",1,1,0
"2013-CDL02",1,1,0
"2013-JR1",1,1,1
"2013-Old91",1,1,1
"2013-SRW1",0,1,1
"2013-SRW2",1,0,1
"2013-SRW3",0,0,0
"2013-WILD1",1,1,0
"2013-WILD2",1,1,1
"2014-1000",1,1,1
"2014-1006",1,1,0
"2014-1012",1,1,1
"2014-1015",1,0,0
"2014-1069",0,0,0
"2014-1099",1,1,1
"2014-11",1,1,1
"2014-1129",1,1,1
"2014-1222",1,1,1
"2014-1264",1,1,0
"2014-1276",1,0,1
"2014-1282",1,1,1
"2014-1312",1,0,1
"2014-1315",0,0,0
"2014-1318",1,1,1
"2014-1321",1,1,1
"2014-1384",1,1,1
"2014-1396",0,1,1
"2014-1426",1,1,1
"2014-1453",1,1,1
"2014-1471",0,1,0
"2014-1480",1,1,1
"2014-15",1,1,1
"2014-1510",1,0,1
"2014-1513",1,1,0
"2014-1549",1,1,1
"2014-1552",0,1,1
"2014-229",0,1,1
"2014-238BU",0,0,1
"2014-256",1,1,1
"2014-268",1,1,1
"2014-28",1,1,1
"2014-310",1,0,0
"2014-328",1,1,1
"2014-355",1,1,1
"2014-37",1,1,1
"2014-379",1,1,0
"2014-448",1,1,1
"2014-505",1,1,0
"2014-508",0,0,1
"2014-511",1,0,1
"2014-517",1,1,1
"2014-526",1,0,1
"2014-526(14)",1,1,1
"2014-541",0,0,1
"2014-544",1,0,0
"2014-550",1,1,1
"2014-568",0,0,1
"2014-613(14)",1,1,1
"2014-64",1,0,1
"2014-646",1,1,1
"2014-649",1,1,1
"2014-655",1,1,0
"2014-655(12)",1,1,1
"2014-685",1,1,0
"2014-703",1,1,1
"2014-718",1,1,1
"2014-73",1,1,1
"2014-772",1,1,1
"2014-775",1,1,1
"2014-778(13)",1,1,1
"2014-787",0,0,1
"2014-796",1,1,1
"2014-832",0,1,1
"2014-847",1,1,0
"2014-865",1,1,1
"2014-877",1,1,1
"2014-889",1,0,0
"2014-889(12)",0,1,0
"2014-913",0,0,0
"2014-931",1,1,1
"2014-934",1,1,1
"2014-940",1,0,0
"2014-979",1,1,1
"2014-979(14)",1,0,1
"2014-982(14)",0,1,1
"2014-BE14",0,1,1
"2014-BOUV1",1,1,1
"2014-BUCK1",0,0,1
"2014-CAN3",0,1,0
"2014-CDLO4",0,0,0
"2014-Jen1",1,1,1
"2014-JR2",1,1,1
"2014-SRW1",1,1,0
"2014-STERN1",1,1,1
"2014-UM1",1,1,1
"2014-USC1",0,1,1
"2014-WD1",1,1,1
"2014-WD2",1,1,1
