"TRAP_NUM","MO","WK","YR","CXT","CXQ","CXE","CXS","CXTH","AEV","AED","AET","PC","ANFRA","ANFRE","CSINOR","CSINC","All_Species","LON","LAT","DESERT","SLTMRSH","DKPND","RCRP","GRP","CIT","DAT","PST","FSH","TOTAL","T","TMAX","TOBS","DIST_TO_SEA","TransCXT","t_samps","SEASON"
"01","04","16","1994",1068,0,248,0,0,0,0,0,0,2,0,0,0,1318,-116.04378952608,33.441176284239,157.74,5.52,0,0,0,63.54,7.43,0,0,234.23,1,350.714285714286,336.214285714286,0.313407145733172,6.97447891102505,33,"spring"
"02","04","16","1994",1908,164,40,0,0,0,0,0,0,1,0,1,0,2114,-116.060868971143,33.4405785159516,90.28,0,0,0,45.66,162.41,13.96,0,0,312.31,1,350.714285714286,336.214285714286,1.7978317494482,7.55433482372575,31,"spring"
"03","04","16","1994",740,10,8,0,0,0,0,0,0,0,0,0,0,758,-116.073636480725,33.4407123380473,132.53,0,0,0,127.5,52.28,0,0,0,312.31,1,350.714285714286,336.214285714286,2.96949366365427,6.60800062529609,31,"spring"
"04","04","16","1994",638,6,4,0,0,0,0,0,0,0,0,1,0,649,-116.094160006286,33.4554894748286,93.56,0,0,17.8,97.96,98.08,1.25,0,3.66,312.31,1,350.714285714286,336.214285714286,2.97416238677357,6.45990445437753,32,"spring"
"05","04","16","1994",1136,224,440,0,0,0,0,0,0,2,0,1,0,1803,-116.060965598573,33.4554249351792,213.67,8.89,0,0,30.83,44.12,0,0,14.79,312.3,1,350.714285714286,336.214285714286,1.22005095918288,7.03614849375054,32,"spring"
"06","04","16","1994",1948,60,84,0,0,0,0,0,0,3,0,1,0,2096,-116.078663338594,33.4548699409948,95.68,0,0,35.65,84.55,66.99,29.44,0,0,312.31,1,350.714285714286,336.214285714286,2.0408775979276,7.57507169950756,32,"spring"
"07","04","16","1994",996,4,124,0,0,6,0,0,0,1,0,0,0,1131,-116.077577562081,33.4697331979169,226.64,9.97,0,36.81,0,22.29,13.75,0,2.85,312.31,1,350.714285714286,336.214285714286,0.78718305436476,6.90475076996184,32,"spring"
"08","04","16","1994",1316,0,24,0,0,0,0,0,1,0,0,0,0,1341,-116.095024643104,33.4696827623563,135.47,0,0,55.93,18.49,75.28,24.29,0,2.85,312.31,1,350.714285714286,336.214285714286,2.29056693072234,7.18311170174328,32,"spring"
"09","04","16","1994",565,5,0,0,0,1,0,0,0,0,0,0,0,571,-116.112163888889,33.4805555555555,61.54,0,0,26.35,4.98,175.1,43.04,0,1.29,312.3,1,350.714285714286,336.214285714286,3.55688821293111,6.33859407820318,32,"spring"
"10","04","16","1994",2100,0,24,0,0,4,0,0,0,0,0,0,0,2128,-116.097177365925,33.4805555555555,263.03,0,0,19.94,0,19.69,2.87,0,6.78,312.31,1,350.714285714286,336.214285714286,2.18156928742819,7.650168700845,32,"spring"
"11","04","16","1994",544,0,268,0,0,0,0,0,0,0,0,0,0,812,-116.080555555556,33.4805555555555,231.64,2.58,0,0,0,0,0,0,0,234.22,1,350.714285714286,336.214285714286,0.693216173230499,6.30078579466324,32,"spring"
"12","04","16","1994",190,127,0,0,0,1,0,0,0,0,0,0,0,318,-116.112437062453,33.4990937043527,94.31,0,0,63.01,0,63.86,87.56,3.56,0,312.3,1,350.714285714286,336.214285714286,3.79402752112479,5.25227342804663,31,"spring"
"13","04","16","1994",163,2,0,0,0,0,0,0,0,0,0,0,0,165,-116.095106863094,33.498469796742,188.87,0,0,96.86,0,6.59,20,0,0,312.32,1,350.714285714286,336.214285714286,2.32977282904294,5.0998664278242,32,"spring"
"14","04","16","1994",434,0,6,0,0,0,0,0,0,0,0,0,0,440,-116.080555555556,33.4980166666667,234.53,0,0,0,0,0,0,0,0,234.53,1,350.714285714286,336.214285714286,1.02822440653711,6.07534603108868,31,"spring"
"15","04","16","1994",250,10,0,0,0,4,0,0,0,0,0,0,0,264,-116.129671538396,33.4987077511208,28.28,0,0,97.6,47.65,109.74,29.04,0,0,312.31,1,350.714285714286,336.214285714286,5.30202102681289,5.52545293913178,32,"spring"
"16","04","16","1994",29,0,0,0,0,0,0,0,0,0,0,0,0,29,-116.129820514715,33.4806120417832,99.2,0,0,89.81,1.4,97.7,24.2,0,0,312.31,1,350.714285714286,336.214285714286,5.18408139952859,3.40119738166216,31,"spring"
"17","04","16","1994",249,0,0,0,0,0,0,0,0,0,0,0,0,249,-116.080418214555,33.5132965785911,135.71,0,20.75,0,0,0,0,0,0,156.46,1,350.714285714286,336.214285714286,2.14133467524184,5.52146091786225,25,"spring"
"18","04","16","1994",65,0,0,0,0,4,0,0,0,0,0,0,0,69,-116.095658083723,33.5102133092492,109.13,0,46.9,106.63,0,0,13.9,0,35.74,312.3,1,350.714285714286,336.214285714286,2.94260927887526,4.18965474202643,31,"spring"
